City_ID,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
574,574,Porbandar,21.6422,69.6093,82.38,83,75,11.5,IN,haze
575,575,Borazjan,29.2666,51.2159,87.13,37,3,3.36,IR,clear sky
577,577,Hambantota,6.1241,81.1185,80.94,83,20,5.75,LK,few clouds
584,584,Guhagar,17.4842,73.1929,80.55,79,100,1.68,IN,overcast clouds
585,585,Sola,-13.8833,167.55,77.88,78,31,22.84,VU,scattered clouds
586,586,Bo Rai,12.5728,102.5371,85.1,73,100,9.01,TH,overcast clouds
593,593,West Plains,36.7281,-91.8524,84.33,70,68,11.99,US,broken clouds
594,594,Luancheng,37.8792,114.6517,80.76,70,84,4.09,CN,broken clouds
595,595,Sao Felix Do Xingu,-6.6447,-51.995,77.79,41,28,1.86,BR,scattered clouds
599,599,Mozarlandia,-14.7447,-50.5706,77.54,24,27,4.63,BR,scattered clouds
603,603,Yangjiang,21.85,111.9667,86.9,72,71,8.32,CN,broken clouds
604,604,Baijiantan,45.6333,85.1833,87.03,26,100,27.94,CN,overcast clouds
605,605,Kieta,-6.2167,155.6333,83.53,71,61,7.45,PG,light rain
606,606,Tayu,-6.5397,111.0518,86.56,57,56,6.35,ID,broken clouds
610,610,Ingham,42.6,-84.3833,76.78,85,90,8.05,US,overcast clouds
611,611,Manaus,-3.1019,-60.025,82.89,78,75,3.44,BR,broken clouds
614,614,Payo,-3.7508,103.6372,87.01,45,99,3.85,ID,overcast clouds
615,615,Panubigan,7.4281,123.3466,83.34,69,71,2.15,PH,light rain
617,617,Kloulklubed,7.0419,134.2556,86.5,69,8,9.53,PW,clear sky
618,618,Manthani,18.65,79.6667,85.32,64,84,8.63,IN,broken clouds
621,621,Kuandian,40.7286,124.7847,76.51,64,13,2.64,CN,few clouds
623,623,Oranjestad,12.524,-70.027,84.15,79,20,16.11,AW,few clouds
624,624,Tagbac,7.089,125.1567,75.52,70,43,1.99,PH,moderate rain
625,625,Fukue,32.6881,128.8419,79.16,100,75,11.5,JP,heavy intensity shower rain
628,628,Ahuimanu,21.4447,-157.8378,85.14,68,40,10.36,US,scattered clouds
629,629,Lensk,60.7253,114.9278,81.77,48,52,1.88,RU,broken clouds
632,632,Guilin,25.2819,110.2864,84.31,76,100,5.93,CN,overcast clouds
634,634,Pathein,16.7833,94.7333,86.16,71,100,6.06,MM,overcast clouds
635,635,Tual,-5.6667,132.75,80.58,82,42,20.45,ID,scattered clouds
637,637,Banda Aceh,5.5577,95.3222,82.0,74,86,10.83,ID,overcast clouds
638,638,Waverly,42.7392,-84.6208,77.11,86,50,6.91,US,scattered clouds
639,639,Gorontalo,0.5412,123.0595,88.23,61,88,6.78,ID,overcast clouds
643,643,Sayville,40.7359,-73.0821,83.28,86,40,1.01,US,scattered clouds
644,644,Black River,18.0264,-77.8487,82.4,82,97,6.17,JM,overcast clouds
647,647,Zihuatanejo,17.6333,-101.55,80.71,80,97,3.2,MX,overcast clouds
648,648,Mardin,37.3131,40.7436,77.5,24,0,5.93,TR,clear sky
650,650,Nalut,30.3333,10.85,85.37,23,3,9.1,LY,clear sky
652,652,Hohhot,40.8106,111.6522,75.49,50,0,4.47,CN,clear sky
654,654,Avera,33.194,-82.5271,80.74,61,1,5.37,US,clear sky
658,658,Tenenkou,14.4572,-4.9169,80.44,68,99,10.42,ML,overcast clouds
659,659,Gizo,-8.103,156.8419,82.65,72,95,8.59,SB,light rain
660,660,Sciacca,37.5082,13.0881,81.03,66,0,3.31,IT,clear sky
661,661,Havelock,34.8791,-76.9013,82.94,87,1,4.0,US,clear sky
664,664,Santa,17.486,120.4348,81.61,76,100,0.78,PH,overcast clouds
665,665,Cocobeach,1.0002,9.5823,76.93,83,99,6.49,GA,light rain
667,667,Wucheng,29.6008,118.175,80.38,92,100,2.57,CN,light rain
668,668,Samarai,-10.6167,150.6667,78.73,86,99,14.32,PG,moderate rain
669,669,Porto Novo,6.4965,2.6036,78.62,91,100,5.28,BJ,overcast clouds
672,672,Redwater,33.3582,-94.2544,86.18,70,5,8.14,US,clear sky
673,673,Atambua,-9.1061,124.8925,85.21,47,7,4.29,ID,clear sky
677,677,Carbonia,39.1672,8.5222,75.85,59,87,3.91,IT,overcast clouds
678,678,Sangar,63.9242,127.4739,76.15,31,18,10.22,RU,few clouds
680,680,Brigantine,39.4101,-74.3646,83.01,90,16,11.27,US,few clouds
681,681,Peleduy,59.6289,112.7406,84.76,42,9,1.99,RU,clear sky
684,684,Yerbogachen,61.2767,108.0108,78.1,43,97,3.98,RU,overcast clouds
685,685,Nioro,13.35,-15.75,75.87,86,86,5.23,GM,overcast clouds
689,689,Yatou,37.15,122.3833,78.06,69,100,11.01,CN,light rain
