,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
303,Huanren,CN,77.7,scattered clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
305,Pacific Grove,US,78.03,clear sky,36.6177,-121.9166,Lovers Point Inn
308,Kavaratti,IN,81.75,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
311,Narasannapeta,IN,86.5,overcast clouds,18.4167,84.05,G.lingaraju home
314,Nieuw Amsterdam,SR,76.01,overcast clouds,5.8833,-55.0833,Globe Hotel
316,Marawi,PH,75.65,broken clouds,7.9986,124.2928,Derogongan Residence
318,Westport,US,84.34,clear sky,41.1415,-73.3579,The Westport Inn
326,Sibu,MY,75.51,moderate rain,2.3,111.8167,RH HOTEL (4 Star)
328,Aurangabad,IN,75.29,haze,19.8833,75.3333,OYO Rooms 012 Kushal Nagar
335,Port Hope,US,77.97,scattered clouds,43.9408,-82.7127,Stafford County Park
336,Lingao,CN,89.2,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
337,Bengkulu,ID,82.26,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
343,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
346,Russell,US,78.4,clear sky,32.3502,-85.1999,Macs
350,Ternate,ID,83.7,few clouds,0.8,127.4,Grand Dafam Bela Ternate
351,Mahibadhoo,MV,82.81,overcast clouds,3.7833,72.9667,Omadhoo Inn
352,Morant Bay,JM,82.02,light rain,17.8815,-76.4093,Whispering Bamboo Cove Resort
356,San Jose,US,81.68,broken clouds,37.3394,-121.895,The Westin San Jose
362,Cozumel,MX,82.0,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
363,Porto Torres,IT,75.38,broken clouds,40.835,8.3972,Hotel Elisa
364,Lagunillas,VE,78.39,scattered clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
368,Jalu,LY,83.05,clear sky,29.0331,21.5482,صاحبة الفخامة
369,Sabang,ID,81.9,broken clouds,5.8933,95.3214,Hotel Citra
377,Chumikan,RU,76.3,scattered clouds,54.7183,135.315,Fortuna
379,Jati,PK,83.73,overcast clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
382,Arlit,NE,82.08,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
383,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
384,Metro,ID,85.41,scattered clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
386,Matay,EG,82.29,clear sky,28.419,30.7792,Nag Aespen
387,Bardiyah,LY,79.52,clear sky,31.7561,25.0865,بورتو بردية
393,Floriano,BR,81.32,broken clouds,-6.7669,-43.0225,Hotel Maktub
395,Vanimo,PG,85.15,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
402,Mbuji-Mayi,CD,78.22,overcast clouds,-6.15,23.6,GKT Hotel
403,Guerrero Negro,MX,79.09,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
406,Seka,TH,79.05,moderate rain,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
407,Zharkent,KZ,77.54,clear sky,44.1628,80.0,гостиница Satti
410,Chandbali,IN,88.0,overcast clouds,20.7833,86.7667,KABITA HOMES
411,Springville,US,87.66,clear sky,40.1652,-111.6107,Best Western Mountain View Inn
412,Sungairaya,ID,78.82,overcast clouds,0.7,108.9,Mess P.Milu
414,Mecca,SA,87.64,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
417,Dwarka,IN,80.92,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
419,Iralaya,HN,79.61,overcast clouds,15.0,-83.2333,Iglesia morava renovada
426,Brewster,US,81.19,clear sky,41.3973,-73.6171,Heidi's Inn
427,Aksu,CN,81.93,few clouds,41.1231,80.2644,Pudong Holiday Hotel
429,Suluq,LY,80.94,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
430,Salina,US,86.13,light rain,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
432,Pangkalanbuun,ID,81.82,light rain,-2.6833,111.6167,Grand Kecubung Hotel
